text,sentiment
I love this phone,positive
This phone is amazing,positive
Excellent product,positive
Very good quality,positive
Highly recommended,positive
Great battery life,positive
Best purchase ever,positive
I am very happy,positive
Worst phone ever,negative
Very poor quality,negative
Terrible experience,negative
Waste of money,negative
I hate this product,negative
Bad battery life,negative
Not worth buying,negative
Poor customer support,negative
It is okay,neutral
Average quality,neutral
Nothing special,neutral
Moderate performance,neutral
I love this product,positive
Amazing quality and service,positive
Excellent experience,positive
Highly recommended,positive
Very satisfied with the purchase,positive
The food was delicious,positive
Outstanding customer support,positive
Best product I have ever used,positive
Fantastic experience overall,positive
The packaging was excellent,positive
Great value for money,positive
I am extremely happy with this item,positive
The service was quick and efficient,positive
Wonderful quality and performance,positive
This exceeded my expectations,positive
Superb customer care,positive
I would definitely buy again,positive
The product works perfectly,positive
Very reliable and easy to use,positive
Five stars for this product,positive
I enjoyed every moment of using it,positive
Brilliant design and quality,positive
The staff were very friendly,positive
Excellent food and atmosphere,positive
Everything was perfect,positive

It is okay,neutral
Average quality,neutral
Normal experience,neutral
Nothing special,neutral
The product is fine,neutral
Works as expected,neutral
Acceptable performance,neutral
The item arrived on time,neutral
The quality is average,neutral
It does the job,neutral
No major issues so far,neutral
The service was standard,neutral
It is neither good nor bad,neutral
Fair enough for the price,neutral
The experience was ordinary,neutral
Nothing impressive about it,neutral
The product is usable,neutral
It met basic expectations,neutral
Moderate performance overall,neutral
The taste was average,neutral
The support was adequate,neutral
Everything was normal,neutral
I have mixed feelings about it,neutral
The product is just fine,neutral
It works as intended,neutral

Very bad experience,negative
Worst product ever,negative
Terrible service,negative
Poor quality,negative
I hate this item,negative
Completely disappointed,negative
Waste of money,negative
The food was awful,negative
Very poor customer support,negative
Not worth the price,negative
The product stopped working quickly,negative
Extremely dissatisfied,negative
I regret buying this,negative
The quality is terrible,negative
Bad packaging and delivery,negative
The service was very slow,negative
I will never buy this again,negative
Horrible experience overall,negative
The item arrived damaged,negative
This was a complete failure,negative
The performance is unacceptable,negative
Very frustrating to use,negative
The product is defective,negative
I am unhappy with the purchase,negative
Absolutely the worst experience,negative
